zip,boro_name,po_name
11372,Queens,Jackson Heights
11004,Queens,Glen Oaks
11040,Queens,New Hyde Park
11426,Queens,Bellerose
11365,Queens,Fresh Meadows
11373,Queens,Elmhurst
11001,Queens,Floral Park
11375,Queens,Forest Hills
11427,Queens,Queens Village
11374,Queens,Rego Park
11366,Queens,Fresh Meadows
11423,Queens,Hollis
11428,Queens,Queens Village
11432,Queens,Jamaica
11379,Queens,Middle Village
11429,Queens,Queens Village
11435,Queens,Jamaica
11415,Queens,Kew Gardens
11418,Queens,Richmond Hill
11433,Queens,Jamaica
11451,Queens,Jamaica
11221,Brooklyn,Brooklyn
11421,Queens,Woodhaven
11419,Queens,South Richmond Hill
11434,Queens,Jamaica
11216,Brooklyn,Brooklyn
11416,Queens,Ozone Park
11233,Brooklyn,Brooklyn
11436,Queens,Jamaica
11213,Brooklyn,Brooklyn
11212,Brooklyn,Brooklyn
11225,Brooklyn,Brooklyn
11218,Brooklyn,Brooklyn
11226,Brooklyn,Brooklyn
11219,Brooklyn,Brooklyn
11210,Brooklyn,Brooklyn
11230,Brooklyn,Brooklyn
11204,Brooklyn,Brooklyn
10471,Bronx,Bronx
10470,Bronx,Bronx
10466,Bronx,Bronx
10467,Bronx,Bronx
10463,Bronx,Bronx
10475,Bronx,Bronx
10464,Bronx,Bronx
10469,Bronx,Bronx
10468,Bronx,Bronx
10463,Manhattan,Bronx
10458,Bronx,Bronx
10034,Manhattan,New York
10033,Manhattan,New York
10462,Bronx,Bronx
10040,Manhattan,New York
10453,Bronx,Bronx
10465,Bronx,Bronx
10461,Bronx,Bronx
10457,Bronx,Bronx
10460,Bronx,Bronx
10032,Manhattan,New York
10452,Bronx,Bronx
10456,Bronx,Bronx
10472,Bronx,Bronx
10031,Manhattan,New York
10039,Manhattan,New York
10459,Bronx,Bronx
10451,Bronx,Bronx
10473,Bronx,Bronx
10030,Manhattan,New York
10027,Manhattan,New York
10474,Bronx,Bronx
10455,Bronx,Bronx
10037,Manhattan,New York
10024,Manhattan,New York
10454,Bronx,Bronx
10026,Manhattan,New York
10035,Manhattan,New York
10025,Manhattan,New York
11357,Queens,Whitestone
10029,Manhattan,New York
83,Manhattan,Central Park
11356,Queens,College Point
11359,Queens,Bayside
11360,Queens,Bayside
11105,Queens,Astoria
10128,Manhattan,New York
11371,Queens,Flushing
10023,Manhattan,New York
11363,Queens,Little Neck
10028,Manhattan,New York
11354,Queens,Flushing
11102,Queens,Astoria
11370,Queens,East Elmhurst
10021,Manhattan,New York
11361,Queens,Bayside
11358,Queens,Flushing
11362,Queens,Little Neck
10044,Manhattan,New York
11369,Queens,East Elmhurst
11103,Queens,Astoria
11106,Queens,Astoria
11368,Queens,Corona
11377,Queens,Woodside
10036,Manhattan,New York
11355,Queens,Flushing
11101,Queens,Long Island City
11364,Queens,Oakland Gardens
10018,Manhattan,New York
10020,Manhattan,New York
11005,Queens,Floral Park
10017,Manhattan,New York
10001,Manhattan,New York
10011,Manhattan,New York
10016,Manhattan,New York
11104,Queens,Sunnyside
11109,Queens,Long Island City
10010,Manhattan,New York
11367,Queens,Flushing
10014,Manhattan,New York
10003,Manhattan,New York
11222,Brooklyn,Brooklyn
10002,Manhattan,New York
11378,Queens,Maspeth
10009,Manhattan,New York
10012,Manhattan,New York
10013,Manhattan,New York
11211,Brooklyn,Brooklyn
10007,Manhattan,New York
11237,Brooklyn,Brooklyn
11385,Queens,Ridgewood
10038,Manhattan,New York
11206,Brooklyn,Brooklyn
10006,Manhattan,New York
11412,Queens,Saint Albans
10005,Manhattan,New York
